Game,Datetime,Market,Event/Person/Team,Odds,Update timestamp
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Head to Head - Match,Terrafirma Dyip,3.97,17/06/2022 12:03
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Head to Head - Match,Phoenix Fuel Masters,1.27,17/06/2022 12:03
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Asian Handicap - Match,Terrafirma Dyip +7.5,1.85,17/06/2022 12:03
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Asian Handicap - Match,Phoenix Fuel Masters -7.5,2.01,17/06/2022 12:03
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Over / Under - Match,Over 198.5,1.94,17/06/2022 12:03
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Over / Under - Match,Under 198.5,1.9,17/06/2022 12:03
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Odd/Even Total Points - Match,Even,1.95,17/06/2022 12:03
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Odd/Even Total Points - Match,Odd,1.94,17/06/2022 12:03
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 1-5,7,17/06/2022 12:03
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 1-5,4.5,17/06/2022 12:03
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 6-10,9.2,17/06/2022 12:03
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 6-10,3.55,17/06/2022 12:03
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 11-15,17,17/06/2022 12:03
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 11-15,6,17/06/2022 12:03
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 16-20,30,17/06/2022 12:03
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 16-20,7,17/06/2022 12:03
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 21-25,80,17/06/2022 12:03
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 21-25,11,17/06/2022 12:03
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 26+,101,17/06/2022 12:03
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 26+,12,17/06/2022 12:03
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Head to Head - Match,San Miguel Beermen,1.44,17/06/2022 12:03
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Head to Head - Match,Magnolia Hotshots,2.92,17/06/2022 12:03
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Asian Handicap - Match,San Miguel Beermen -5.5,2.01,17/06/2022 12:03
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Asian Handicap - Match,Magnolia Hotshots +5.5,1.85,17/06/2022 12:03
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Over / Under - Match,Over 181.5,1.88,17/06/2022 12:03
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Over / Under - Match,Under 181.5,1.96,17/06/2022 12:03
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Odd/Even Total Points - Match,Even,1.95,17/06/2022 12:03
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Odd/Even Total Points - Match,Odd,1.94,17/06/2022 12:03
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIGUEL BEERMEN by 1-5,4.5,17/06/2022 12:03
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIG COFFEE MIXERS by 1-5,5.8,17/06/2022 12:03
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIGUEL BEERMEN by 6-10,3.95,17/06/2022 12:03
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIG COFFEE MIXERS by 6-10,7,17/06/2022 12:03
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIGUEL BEERMEN by 11-15,6.6,17/06/2022 12:03
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIG COFFEE MIXERS by 11-15,12,17/06/2022 12:03
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIGUEL BEERMEN by 16-20,8.6,17/06/2022 12:03
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIG COFFEE MIXERS by 16-20,21,17/06/2022 12:03
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIGUEL BEERMEN by 21-25,14,17/06/2022 12:03
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIG COFFEE MIXERS by 21-25,45,17/06/2022 12:03
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIGUEL BEERMEN by 26+,17,17/06/2022 12:03
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIG COFFEE MIXERS by 26+,80,17/06/2022 12:03
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Head to Head - Match,Terrafirma Dyip,3.5,17/06/2022 13:21
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Head to Head - Match,Phoenix Fuel Masters,1.32,17/06/2022 13:21
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Asian Handicap - Match,Terrafirma Dyip +6.5,2.08,17/06/2022 13:21
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Asian Handicap - Match,Phoenix Fuel Masters -6.5,1.79,17/06/2022 13:21
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Over / Under - Match,Over 197.5,1.93,17/06/2022 13:21
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Over / Under - Match,Under 197.5,1.91,17/06/2022 13:21
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Odd/Even Total Points - Match,Even,1.95,17/06/2022 13:21
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Odd/Even Total Points - Match,Odd,1.94,17/06/2022 13:21
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 1-5,7,17/06/2022 13:21
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 1-5,4.5,17/06/2022 13:21
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 6-10,9.2,17/06/2022 13:21
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 6-10,3.55,17/06/2022 13:21
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 11-15,17,17/06/2022 13:21
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 11-15,6,17/06/2022 13:21
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 16-20,30,17/06/2022 13:21
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 16-20,7.2,17/06/2022 13:21
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 21-25,80,17/06/2022 13:21
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 21-25,11,17/06/2022 13:21
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 26+,101,17/06/2022 13:21
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 26+,12,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Head to Head - Match,San Miguel Beermen,1.47,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Head to Head - Match,Magnolia Hotshots,2.8,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Asian Handicap - Match,San Miguel Beermen -4.5,1.8,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Asian Handicap - Match,Magnolia Hotshots +4.5,2.06,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Over / Under - Match,Over 181.5,1.88,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Over / Under - Match,Under 181.5,1.96,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Odd/Even Total Points - Match,Even,1.94,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Odd/Even Total Points - Match,Odd,1.94,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIGUEL BEERMEN by 1-5,4.5,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIG COFFEE MIXERS by 1-5,5.8,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIGUEL BEERMEN by 6-10,4,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIG COFFEE MIXERS by 6-10,6.8,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIGUEL BEERMEN by 11-15,6.8,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIG COFFEE MIXERS by 11-15,12,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIGUEL BEERMEN by 16-20,8.8,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIG COFFEE MIXERS by 16-20,20,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIGUEL BEERMEN by 21-25,15,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIG COFFEE MIXERS by 21-25,45,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIGUEL BEERMEN by 26+,18,17/06/2022 13:21
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIG COFFEE MIXERS by 26+,70,17/06/2022 13:21
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Head to Head - Match,Terrafirma Dyip,3.5,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Head to Head - Match,Phoenix Fuel Masters,1.32,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Asian Handicap - Match,Terrafirma Dyip +6.5,2.02,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Asian Handicap - Match,Phoenix Fuel Masters -6.5,1.84,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Over / Under - Match,Over 197.5,1.96,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Over / Under - Match,Under 197.5,1.88,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Odd/Even Total Points - Match,Even,1.95,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Odd/Even Total Points - Match,Odd,1.94,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 1-5,7,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 1-5,4.5,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 6-10,9.2,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 6-10,3.55,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 11-15,17,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 11-15,6,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 16-20,30,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 16-20,7.2,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 21-25,80,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 21-25,11,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 26+,101,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 26+,12,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Head to Head - Match,San Miguel Beermen,1.47,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Head to Head - Match,Magnolia Hotshots,2.8,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Asian Handicap - Match,San Miguel Beermen -4.5,1.77,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Asian Handicap - Match,Magnolia Hotshots +4.5,2.11,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Over / Under - Match,Over 181.5,1.88,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Over / Under - Match,Under 181.5,1.96,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Odd/Even Total Points - Match,Even,1.94,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Odd/Even Total Points - Match,Odd,1.94,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIGUEL BEERMEN by 1-5,4.5,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIG COFFEE MIXERS by 1-5,5.8,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIGUEL BEERMEN by 6-10,4,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIG COFFEE MIXERS by 6-10,6.8,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIGUEL BEERMEN by 11-15,6.8,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIG COFFEE MIXERS by 11-15,12,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIGUEL BEERMEN by 16-20,8.8,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIG COFFEE MIXERS by 16-20,20,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIGUEL BEERMEN by 21-25,15,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIG COFFEE MIXERS by 21-25,45,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIGUEL BEERMEN by 26+,18,17/06/2022 13:58
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIG COFFEE MIXERS by 26+,70,17/06/2022 13:58
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Head to Head - Match,Terrafirma Dyip,3.5,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Head to Head - Match,Phoenix Fuel Masters,1.32,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Asian Handicap - Match,Terrafirma Dyip +6.5,2.02,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Asian Handicap - Match,Phoenix Fuel Masters -6.5,1.84,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Over / Under - Match,Over 197.5,1.96,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Over / Under - Match,Under 197.5,1.88,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Odd/Even Total Points - Match,Even,1.95,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Odd/Even Total Points - Match,Odd,1.94,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 1-5,7,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 1-5,4.5,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 6-10,9.2,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 6-10,3.55,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 11-15,17,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 11-15,6,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 16-20,30,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 16-20,7.2,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 21-25,80,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 21-25,11,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 26+,101,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 26+,12,17/06/2022 14:25
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Asian Handicap - Match,San Miguel Beermen -5.5,1.86,17/06/2022 14:25
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Asian Handicap - Match,Magnolia Hotshots +5.5,1.99,17/06/2022 14:25
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Over / Under - Match,Over 181.5,1.88,17/06/2022 14:25
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Over / Under - Match,Under 181.5,1.96,17/06/2022 14:25
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Odd/Even Total Points - Match,Even,1.95,17/06/2022 14:25
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Odd/Even Total Points - Match,Odd,1.94,17/06/2022 14:25
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Match to go into overtime - Regulation Time,Yes,9,17/06/2022 14:25
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Match to go into overtime - Regulation Time,No,1.03,17/06/2022 14:25
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Half Time / Full Time - Regulation Time,SAN MIGUEL BEERMEN - SAN MIGUEL BEERMEN,1.75,17/06/2022 14:25
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Half Time / Full Time - Regulation Time,Draw - SAN MIGUEL BEERMEN,30,17/06/2022 14:25
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Half Time / Full Time - Regulation Time,SAN MIG COFFEE MIXERS - SAN MIGUEL BEERMEN,6,17/06/2022 14:25
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Half Time / Full Time - Regulation Time,SAN MIGUEL BEERMEN - Draw,24,17/06/2022 14:25
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Half Time / Full Time - Regulation Time,Draw - Draw,101,17/06/2022 14:25
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Half Time / Full Time - Regulation Time,SAN MIG COFFEE MIXERS - Draw,24,17/06/2022 14:25
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Half Time / Full Time - Regulation Time,SAN MIGUEL BEERMEN - SAN MIG COFFEE MIXERS,9.6,17/06/2022 14:25
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Half Time / Full Time - Regulation Time,Draw - SAN MIG COFFEE MIXERS,50,17/06/2022 14:25
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Half Time / Full Time - Regulation Time,SAN MIG COFFEE MIXERS - SAN MIG COFFEE MIXERS,3.1,17/06/2022 14:25
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Head to Head - Match,Terrafirma Dyip,3.4,17/06/2022 14:48
